Track;Album Name;Artist;Release Date;ISRC;All Time Rank;Spotify Streams;Spotify Playlist Count;Spotify Playlist Reach
We Laugh And Clap At The Circus;Crash Recoil;Surgeon;3/17/2023;DEF272335104;4115;37199;138;30013
Original som fan;HIPHOPP Vol. 1;OP;10/30/2018;SE5BU1734432;2466;37291;93;4955
Zombie Dance with New DB Heroes;Mummy Dance with Family;D Billions;12/08/23;AEA0Q2376389;3796;37396;4;3608
24K Magic;24K Magic;Bruno Mars;10/07/16;USAT21602944;134;1425996809;175419;63087960
Bebefinn Song;Bebefinn Song - Single;Pinkfong;05/03/24;KRE672300203;1069;38895;8;611
Ranjha Maahi;Ranjha Maahi - Single;Siddhant;01/12/23;INS172224058;2375;40654;75;45363
Chiky Boom;Chiky Boom;Paylon;11/18/2022;ES5052200746;13;41254;14;769
Bam Lagatar;Bam Lagatar;Khushi Kakkar;05/06/24;ING642403642;4355;41745;2;1
Fouji Fojan Lofi 2 (feat. Aamin Barodi & Sapna Choudhary);Fouji Fojan 2 Lofi (feat. Aamin Barodi & Sapna Choudhary);Raj Mawer;3/14/2024;ING642402006;2088;41746;2;31
Voz Emplumada del Monte;Voz Emplumada - EP;Biomigrant;03/03/23;QZ5FN2369288;239;42761;80;1636
Babba;Black Book ID's: Chapter 5 - EP;Guy Mac;03/03/23;QZA742305720;70;46567;252;2193
Back;Back;LOLA;08/03/22;UKQNV2100272;140;48428;92;15747
Lahore Brand;Lahore Brand - Single;Mazhar Rahi;05/01/22;TCAGE2246215;4278;49081;17;211
Diable;Bocaterrosa;Ven'nus;2/28/2023;ES11D2300869;2423;53058;117;4155
SAN BENEDETTO;FOREGROUND MUSIC;Ron Gallo;03/03/23;USKRS2374406;3371;53305;79;1893
Lambiyan Raataan;Lambiyan Raataan - Single;Jubin Nautiyal;8/27/2021;QZ93L2125871;644;53437;4;16
Mitu;Mitu - Single;Maian;1/19/2023;EEUM72300001;55;55346;42;16861
